nodes,amin,median,std,amax,mean,kurtosis,skew,entropy,<lambda_0>,<lambda_1>,clusters
8,-1.1278379,0.98518014,-0.8232458142132645,0.59322953,0.39876416,-0.44741844729480873,-0.8645930100307622,1.7577304,0.7331746668974661,0.6228253895275765,2
9,-1.9993505,1.0419348,-0.48493910160966264,0.6214798,0.5099357,-0.12213816707911926,-0.28641542761751376,1.6126424,1.2303172681764072,0.4356081425851747,2
11,-1.8455615,1.4554055,-0.3841606620280057,0.59322953,0.92742324,0.08348819793705764,-0.25627484960422386,0.5756733,2.047598246636868,0.6673597936168532,2
12,-1.7601093,0.94622326,-0.6726208621112577,0.15536913,0.55851686,-0.47038150945007084,-0.7745631737725144,1.5966243,0.9324101071591723,0.6242220447480888,2
13,0.5724454,1.2144973,-0.7720676270048874,0.59322953,0.69263625,0.3875616281348124,0.08179402133740762,0.46904722,2.599792255845253,0.18633822294103777,2
15,0.5724454,0.4066056,-1.1673233476694025,-2.839032,-0.15046267,-0.058958037173810526,-0.18147870951658093,0.087978974,0.6901422372035982,-0.09927937644604345,0
16,-1.2474586,0.0019654008,-0.8261387450737946,0.15536913,-0.33989125,1.1087278619830963,0.6643126071080411,-0.32569742,-0.14153172085306218,-0.17336065307706366,2
17,0.5724454,0.18215786,-1.5039230140072442,-2.839032,-0.4959801,-0.6408494330381381,-0.6386156087929695,0.47681767,-0.10639954785876768,-0.1815792781290893,0
20,-2.0249767,1.208736,0.49758322013478806,0.15536913,1.1982511,-1.1235657707433908,-1.2575949176748347,2.017632,0.8974464504030396,1.2215473179726173,2
22,0.5724454,1.9036494,2.292531160694922,0.5791052,2.6003988,-1.5378802730356897,-1.5689069335791528,0.06979768,1.965672423071379,2.4802844226566645,2
23,-1.4012475,1.4554055,1.2113036652841467,0.15536913,1.7864698,-1.3320523801426347,-1.315788590462982,-0.6721335,1.7855371826585236,1.1941625608278004,2
24,0.5724454,0.6197537,-1.298331222976454,-2.8672807,-0.23769318,-0.21656181795522697,-0.5163328169998371,-0.04209377,0.6901422372035982,-0.1216937371514659,0
26,-1.5977782,0.94622326,0.19075141607282567,0.5791052,0.94009405,-1.2712047482477757,-1.4512681509969563,1.6227266,0.6901422372035982,1.4731292941684504,2
27,-1.8797299,-0.14237387,-0.42679010599462325,0.5791052,-0.35949194,0.6090757615087206,0.5978712811618384,1.6896682,-0.10600034135484845,-0.5412620862241757,2
34,0.5724454,-0.14237387,-0.12087710397510061,-0.28249124,0.00051575014,-0.741422410460337,-0.8297564364082112,-0.35636583,-0.6008318847813011,0.49783740567985074,0
35,0.5724454,0.41948256,0.7679801249063732,-0.24011667,0.60177654,-0.9255233310003527,-0.8278148889602951,-1.0774614,-0.6008318847813011,0.5827642952056876,0
37,0.5724454,-0.17748988,0.5153668416416637,0.5791052,0.17571494,-0.8477019212960706,-0.6888637654197577,-0.9747212,-0.6008318847813011,0.49783740567985074,0
38,0.5724454,-0.6691143,0.7011532150627707,-0.26836693,-0.15581013,-0.48420361438680426,-0.13945173905592456,-1.5186847,-0.6008318847813011,0.16908738727163947,0
39,0.5724454,-0.6691143,-0.35089857440087036,0.5791052,-0.64764905,0.5553504251376479,0.5955336678693884,-0.48727062,-0.6008318847813011,-0.5103292965373006,1
40,0.5724454,-0.17748988,0.7914586468717041,0.16949345,0.1608372,-0.3875660463091271,-0.2016129375814866,0.55850524,-0.6008318847813011,0.1581289070151562,0
42,0.5724454,-1.7401532,-0.11863244886506173,0.59322953,-0.99646777,0.7671415146746211,0.9004446414647792,-0.90088063,-0.6008318847813011,-1.156871166617689,1
47,0.5724454,-0.6691143,-0.15835602274076668,-0.28249124,-0.4783315,-0.21890265760495087,-0.03278065576553286,-1.3293451,-0.6008318847813011,-0.5103292965373006,0
48,0.5724454,0.36680856,1.9489289537209644,0.5791052,0.8868592,-1.0680317799417454,-0.7226614466949974,-0.34037694,-0.6008318847813011,0.49783740567985074,0
49,0.5724454,0.36680856,2.334150038828108,0.6214798,1.2847385,-1.309334478669359,-1.0842984275444967,0.3404012,-0.6008318847813011,1.1662956092323076,0
50,0.5724454,-0.14237387,0.7507539288159099,0.5791052,0.25373933,-0.6449141748264946,-0.4089818524002052,-0.5163566,-0.6008318847813011,0.16908738727163947,0
52,0.5724454,-0.17748988,0.7924483635564203,0.5791052,-0.02797931,0.0329164700580204,0.25168199577821787,-0.6910078,-0.6008318847813011,0.1362122600226387,0
53,0.5724454,-0.14237387,0.7137150069892101,0.59322953,-0.024126068,-0.008470836700589736,0.24671243337462792,-1.2028328,-0.6008318847813011,-0.1761001947610722,0
58,0.5724454,0.36680856,-0.016154078066457144,0.5791052,-0.11620993,0.4515546980176383,0.4640243216531985,-0.84158057,-0.6008318847813011,-0.1761001947610722,0
59,0.5724454,-0.124815874,0.6753858639777477,0.59322953,0.1882894,0.2527919154814351,0.3384063709941669,-0.5398148,-0.6008318847813011,0.49783740567985074,0
61,0.5724454,-1.7401532,-1.114211010403899,-0.26836693,-1.5997193,1.622658489706119,1.5847840019483095,-1.3985851,-0.6008318847813011,-1.518495998754452,1
62,0.5724454,-1.2485287,-0.37010494664102095,-0.28249124,-1.0909815,0.8123551741154568,0.9532541242134493,-0.55098104,-0.6008318847813011,-1.1787878136102063,1
63,0.5724454,-1.2485287,-0.24268481391296384,0.59322953,-1.4081717,1.7615448361375035,1.9589240076921208,0.64891016,-0.6008318847813011,-1.7486210273162224,1
66,0.5724454,-1.1958548,-1.0285551542945754,-1.5536995,-1.2613112,1.4668624284986624,1.56024281182787,-0.71440977,-0.6008318847813011,-1.1787878136102063,1
67,0.5724454,-1.7401532,-1.093735616885705,0.59322953,-1.9237416,2.680919791314795,2.479033815312147,0.24673699,-0.6008318847813011,-2.159558707086711,1
68,0.5724454,-1.7401532,-1.2097601736825456,-0.26836693,-1.8509505,1.2641326426509147,1.3710342371436932,0.7097391,-1.8918060067662004,-1.8472460171626632,1
